subject_code;subject_name;subject_acronym
2223_INGE_EI_OD_INFOIA_UE7393_PAPY;Programmation avancée en Python;PAPY
2223_INGE_EI_OD_INFOIA_UE7393_PFONC;Programmation fonctionnelle;PFONC
2223_INGE_EI_OD_INFOIA_UE7494_AGATH;Théorie des jeux algorithmiques;AGATH
2223_INGE_EI_OD_INFOIA_UE7494_GPGPU;Programmation sur processeur graphique;GPGPU
2223_INGE_EI_OD_INFOIA_UE7494_QCM;Qualité, conception, modélisation;QCM
2223_INGE_EI_OD_INFOIA_UE7494_STASC;Introduction à l'apprentissage statistique avec Python;STASC
2223_INGE_EI_OD_INFOSI_UE7393_BDONN;Bases de données;BDONN
2223_INGE_EI_OD_INFOSI_UE7393_GELOG;Génie Logiciel;GELOG
2223_INGE_EI_OD_INFOSI_UE7393_MADIS;Mathématiques discrètes;MADIS
2223_INGE_EI_OD_INFOSI_UE7393_OBJET;Programmation Objet;OBJET
2223_INGE_EI_OD_INFOSI_UE7494_ADATA;Analyse de Données;ADATA
2223_INGE_EI_OD_INFOSI_UE7494_MEDEV;Méthodologie de Développement;MEDEV_INFOSI
2223_INGE_EI_OD_INFOSI_UE7494_SECUR;Sécurité;SECUR
2223_INGE_EI_OD_INFOSI_UE7494_SYRES;Systèmes et Réseaux;SYRES
2223_INGE_EI_OD_IPROD_UE7393_CMMO;Choix des Matériaux et leur Mise en Oeuvre;CMMO
2223_INGE_EI_OD_IPROD_UE7393_CONCEPT;Conception;CONCEPT
2223_INGE_EI_OD_IPROD_UE7393_MOMAQ;Modélisation/Maquettage;MOMAQ
2223_INGE_EI_OD_IPROD_UE7393_USAGES;Usages;USAGES
2223_INGE_EI_OD_IPROD_UE7494_CONFORM;Conformité et stabilisation de la production;CONFORM
2223_INGE_EI_OD_IPROD_UE7494_PLANEX;Plan d'expériences;PLANEX
2223_INGE_EI_OD_IPROD_UE7494_PROCOM;Programmation commande machines et objets;PROCOM
2223_INGE_EI_OD_IPROD_UE7494_RAPMA;Rapid Manufacturing;RAPMA
